id,audio_file,x_b,x_d,y_hat_b,y_hat_d,brightness_diff,depth_diff,p_l_delay_ms,p_r_delay,p_feedback,p_fb_tone_lo_hi,p_fb_mix,p_hat_l_delay_ms,p_hat_r_delay,p_hat_feedback,p_hat_fb_tone_lo_hi,p_hat_fb_mix
322,audio_322.wav,0.575997531414032,0.4477725923061371,0.5759463310241699,0.45142272114753723,-5.120038986206055e-05,0.0036501288414001465,0.05316931,0.8552826,0.84421915,0.089864194,0.19470274,0.6682466,0.3537744,0.6548304,0.348186,0.02520967
323,audio_323.wav,0.575997531414032,0.4477725923061371,0.5759989023208618,0.45246875286102295,1.3709068298339844e-06,0.004696160554885864,0.72508204,0.87589467,0.69285697,0.9448,0.0040798187,0.72382313,0.4264255,0.71579176,0.36077738,0.01667435
324,audio_324.wav,0.575997531414032,0.4477725923061371,0.5759887099266052,0.44932979345321655,-8.821487426757812e-06,0.0015572011470794678,0.07865852,0.8912587,0.76098776,0.32527977,0.022796452,0.7230995,0.42536017,0.7152564,0.3599965,0.016608872
325,audio_325.wav,0.575997531414032,0.4477725923061371,0.5758783221244812,0.4467957615852356,-0.00011920928955078125,-0.0009768307209014893,0.7093419,0.21882844,0.3084699,0.2848304,0.11103952,0.85852957,0.834468,0.87887573,0.5457586,0.035177756
326,audio_326.wav,0.575997531414032,0.4477725923061371,0.576118528842926,0.4496498703956604,0.00012099742889404297,0.0018772780895233154,0.6874079,0.30518484,0.22637552,0.6935757,0.3043828,0.8774593,0.92322224,0.9150892,0.65275633,0.08834273
327,audio_327.wav,0.575997531414032,0.4477725923061371,0.5759563446044922,0.44891372323036194,-4.118680953979492e-05,0.0011411309242248535,0.47799093,0.4123785,0.23695648,0.6252755,0.9978283,0.8318266,0.71906954,0.8417158,0.468586,0.02148704
328,audio_328.wav,0.575997531414032,0.4477725923061371,0.5759702920913696,0.44880765676498413,-2.7239322662353516e-05,0.001035064458847046,0.3008721,0.49458998,0.42263508,0.6881479,0.34551692,0.8219434,0.6700565,0.82422984,0.4445567,0.018740712
329,audio_329.wav,0.575997531414032,0.4477725923061371,0.5760278105735779,0.44864919781684875,3.0279159545898438e-05,0.0008766055107116699,0.38239098,0.0022029877,0.782039,0.78979874,0.10211283,0.7404057,0.45370436,0.7317276,0.36767554,0.015699465
330,audio_330.wav,0.575997531414032,0.4477725923061371,0.5761190056800842,0.45114004611968994,0.0001214742660522461,0.0033674538135528564,0.65008223,0.47719306,0.85110605,0.66782594,0.9558135,0.8759845,0.9277901,0.91560435,0.66251516,0.1009406
331,audio_331.wav,0.575997531414032,0.4477725923061371,0.5759798884391785,0.44980958104133606,-1.7642974853515625e-05,0.0020369887351989746,0.031061172,0.8104843,0.66366905,0.50965923,0.672125,0.7458266,0.46392313,0.73822755,0.37061444,0.0153881265
332,audio_332.wav,0.575997531414032,0.4477725923061371,0.5759633779525757,0.44966447353363037,-3.415346145629883e-05,0.0018918812274932861,0.56105196,0.046717048,0.71378726,0.86724806,0.73032194,0.8434081,0.76368386,0.8550099,0.49499458,0.02533197
333,audio_333.wav,0.575997531414032,0.4477725923061371,0.5759544968605042,0.4489142894744873,-4.303455352783203e-05,0.0011416971683502197,0.38835436,0.92248106,0.11732769,0.28779233,0.94168967,0.83250594,0.7130049,0.8382763,0.46621466,0.02109346
334,audio_334.wav,0.575997531414032,0.4477725923061371,0.5773617029190063,0.45081019401550293,0.0013641715049743652,0.0030376017093658447,0.53440744,0.9691197,0.33649802,0.60043365,0.89614266,0.8659563,0.947777,0.9216212,0.7116387,0.20469028
335,audio_335.wav,0.575997531414032,0.4477725923061371,0.575981616973877,0.4492340087890625,-1.5914440155029297e-05,0.001461416482925415,0.70685434,0.9538582,0.022288024,0.36285526,0.28738332,0.83302695,0.7222998,0.8412633,0.47012913,0.021186996
336,audio_336.wav,0.575997531414032,0.4477725923061371,0.5768722295761108,0.44680851697921753,0.0008746981620788574,-0.0009640753269195557,0.76089627,0.83448875,0.50287235,0.81224877,0.75563735,0.8715015,0.9441169,0.9216153,0.70001924,0.1658613
337,audio_337.wav,0.575997531414032,0.4477725923061371,0.5760309100151062,0.45094525814056396,3.337860107421875e-05,0.00317266583442688,0.09174049,0.15865934,0.052052915,0.22971123,0.74923563,0.7475706,0.46889105,0.74088544,0.37147394,0.015218027
338,audio_338.wav,0.575997531414032,0.4477725923061371,0.5759649276733398,0.4462469220161438,-3.260374069213867e-05,-0.0015256702899932861,0.2783211,0.14598835,0.47934443,0.7294372,0.11328596,0.6937562,0.3834188,0.6833831,0.3515427,0.020125361
339,audio_339.wav,0.575997531414032,0.4477725923061371,0.5759587287902832,0.447826623916626,-3.88026237487793e-05,5.40316104888916e-05,0.8674916,0.8149124,0.10359055,0.6087643,0.98549336,0.656631,0.34311807,0.64213413,0.3468409,0.027846837
340,audio_340.wav,0.575997531414032,0.4477725923061371,0.576627254486084,0.44930535554885864,0.000629723072052002,0.0015327632427215576,0.4686529,0.79588616,0.9894912,0.4884389,0.80442566,0.87303925,0.9415889,0.9207621,0.6935345,0.15041116
341,audio_341.wav,0.575997531414032,0.4477725923061371,0.5759972929954529,0.45164644718170166,-2.384185791015625e-07,0.003873854875564575,0.8164492,0.4815725,0.05272889,0.79898614,0.5378044,0.71353084,0.41129765,0.7042182,0.35792676,0.01788759
342,audio_342.wav,0.575997531414032,0.4477725923061371,0.5760266184806824,0.4483337700366974,2.9087066650390625e-05,0.0005611777305603027,0.26844198,0.1909923,0.6111289,0.11189431,0.51577127,0.6830167,0.3701121,0.67149884,0.349443,0.021934016
343,audio_343.wav,0.575997531414032,0.4477725923061371,0.5759812593460083,0.4489995837211609,-1.627206802368164e-05,0.0012269914150238037,0.44716567,0.064068735,0.22274965,0.23594362,0.43874943,0.7880078,0.56093216,0.78396714,0.40106714,0.016085258
344,audio_344.wav,0.575997531414032,0.4477725923061371,0.575972855091095,0.4472694993019104,-2.467632293701172e-05,-0.0005030930042266846,0.9814919,0.4496721,0.96077114,0.014546871,0.20565134,0.75471467,0.48105124,0.74708635,0.37493807,0.015141292
345,audio_345.wav,0.575997531414032,0.4477725923061371,0.5759754180908203,0.44891229271888733,-2.2113323211669922e-05,0.0011397004127502441,0.42024606,0.095072806,0.52210724,0.8885941,0.9202787,0.8200224,0.6688341,0.8225361,0.44450304,0.018802997
346,audio_346.wav,0.575997531414032,0.4477725923061371,0.5760368704795837,0.45088276267051697,3.933906555175781e-05,0.003110170364379883,0.6800742,0.66410166,0.47875935,0.9316142,0.2585985,0.87192625,0.896147,0.90238297,0.61128753,0.060504843
347,audio_347.wav,0.575997531414032,0.4477725923061371,0.5760325789451599,0.4482131600379944,3.504753112792969e-05,0.0004405677318572998,0.082479835,0.67415345,0.044522226,0.1663562,0.4542768,0.734012,0.44423422,0.72680014,0.36531705,0.01594651
348,audio_348.wav,0.575997531414032,0.4477725923061371,0.5759367346763611,0.4466404616832733,-6.079673767089844e-05,-0.0011321306228637695,0.38600796,0.926506,0.8325138,0.9766909,0.3340931,0.8591656,0.8378217,0.88047224,0.5480591,0.03592391
349,audio_349.wav,0.575997531414032,0.4477725923061371,0.5760125517845154,0.44849035143852234,1.5020370483398438e-05,0.0007177591323852539,0.42554587,0.30236536,0.0065490603,0.25967467,0.711493,0.7446578,0.45989022,0.7363493,0.36992556,0.015738307
350,audio_350.wav,0.575997531414032,0.4477725923061371,0.5760593414306641,0.4498937129974365,6.181001663208008e-05,0.0021211206912994385,0.39024115,0.47426432,0.3640293,0.3353024,0.867152,0.79932976,0.59048903,0.79537225,0.41030493,0.01590661
351,audio_351.wav,0.575997531414032,0.4477725923061371,0.5760278105735779,0.4481131434440613,3.0279159545898438e-05,0.00034055113792419434,0.8440212,0.5365913,0.09740186,0.53878975,0.26520133,0.7050566,0.39787003,0.6949172,0.35424122,0.01852294
352,audio_352.wav,0.575997531414032,0.4477725923061371,0.5760244131088257,0.45057451725006104,2.6881694793701172e-05,0.00280192494392395,0.5005183,0.10038698,0.6764888,0.91165435,0.28490758,0.7163334,0.41415718,0.7072473,0.35797024,0.017424613
353,audio_353.wav,0.575997531414032,0.4477725923061371,0.5760237574577332,0.4505751132965088,2.6226043701171875e-05,0.002802520990371704,0.110610366,0.89375806,0.04604298,0.22102451,0.70943296,0.71672827,0.41451615,0.7082269,0.35784584,0.01732263
354,audio_354.wav,0.575997531414032,0.4477725923061371,0.576016902923584,0.4505837559700012,1.9371509552001953e-05,0.0028111636638641357,0.575815,0.26983726,0.9154676,0.6647108,0.12405068,0.79688555,0.58426,0.79316175,0.40862274,0.015882375
355,audio_355.wav,0.575997531414032,0.4477725923061371,0.5759425759315491,0.448735773563385,-5.4955482482910156e-05,0.0009631812572479248,0.27592713,0.5620791,0.4863661,0.13167197,0.59695446,0.8133523,0.63860226,0.81377614,0.43077636,0.01779227
356,audio_356.wav,0.575997531414032,0.4477725923061371,0.5759397745132446,0.44951289892196655,-5.7756900787353516e-05,0.0017403066158294678,0.62809765,0.68326336,0.24344838,0.73172146,0.568538,0.84033364,0.7511439,0.8506698,0.487656,0.023869367
