,id,audio_file,x_b,x_d,y_hat_b,y_hat_d,brightness_diff,depth_diff,p_freq_hz,p_fine_hz,p_feedback,p_hat_freq_hz,p_hat_fine_hz,p_hat_feedback,class,x_emb_n=0,y_emb_n=0,colour_n=0,x_emb_n=5,y_emb_n=5,colour_n=5,x_emb_n=10,y_emb_n=10,colour_n=10,x_emb_n=25,y_emb_n=25,colour_n=25,x_emb_n=100,y_emb_n=100,colour_n=100
614,614,audio_614.wav,0.6104051470756531,0.4509032666683197,0.868870198726654,0.0623632781207561,0.258465051651001,-0.3885399885475635,0.6111289,0.11189431,0.51577127,0.6613725,0.64891195,0.5953051,-1,9.812795,7.058792,#e1947f,9.626682,8.680817,#e59e7f,12.34777,6.921652,#f4a57f,10.97845,7.8149333,#eb917f,10.542694,9.181498,#e8967f
615,615,audio_615.wav,0.6104051470756531,0.4509032666683197,0.8606942296028137,0.0937195345759391,0.2502890825271606,-0.3571837320923805,0.44716567,0.064068735,0.22274965,0.57709104,0.6384856,0.6748628,-1,7.5086384,-3.5164683,#bd0b7f,8.142102,-0.7808292,#cd247f,9.825373,-2.1257293,#d3157f,9.974357,-1.380993,#dd0a7f,9.775455,-0.2513998,#dc187f
616,616,audio_616.wav,0.6104051470756531,0.4509032666683197,0.7966262102127075,0.3363149762153625,0.1862210631370544,-0.1145882904529571,0.23594362,0.43874943,0.9814919,0.2544959,0.35567442,0.87165886,-1,-2.980493,0.8012847,#1a437f,-1.5495923,-0.8002003,#32237f,-1.2029389,0.67659414,#42417f,-1.0245419,0.25239328,#45227f,-0.4162136,0.7899841,#3d267f
617,617,audio_617.wav,0.6104051470756531,0.4509032666683197,0.8553993105888367,0.3126473724842071,0.2449941635131836,-0.1382558941841125,0.4496721,0.96077114,0.014546871,0.5403749,0.6129598,0.71017975,-1,7.560375,-3.4954336,#be0b7f,8.16758,-0.7448015,#ce247f,9.751987,-2.1947582,#d2147f,9.961907,-1.40216,#dd0a7f,9.713758,-0.30484566,#db177f
618,618,audio_618.wav,0.6104051470756531,0.4509032666683197,0.8006975650787354,0.3356878459453583,0.1902924180030822,-0.1152154207229614,0.20565134,0.42024606,0.095072806,0.2711603,0.37793073,0.8652514,-1,-3.6617725,2.9812207,#105f7f,-2.24816,1.2900237,#273f7f,-2.5031974,2.9701319,#31667f,-2.561425,2.8371263,#2f487f,-1.1718234,2.7174807,#313f7f
619,619,audio_619.wav,0.6104051470756531,0.4509032666683197,0.8684242367744446,0.0683071613311767,0.2580190896987915,-0.3825961053371429,0.52210724,0.8885941,0.9202787,0.65155554,0.6488121,0.6052599,-1,9.598831,0.04625169,#dd397f,10.3626795,2.669166,#f1507f,12.377141,0.94978946,#f4467f,12.152948,1.8763635,#fb3a7f,11.736223,3.3408933,#fb487f
620,620,audio_620.wav,0.6104051470756531,0.4509032666683197,0.8690363764762878,0.0586806051433086,0.2586312294006347,-0.392222661525011,0.6800742,0.66410166,0.47875935,0.6692166,0.64510894,0.5874502,-1,10.753411,12.234648,#efd77f,8.158558,13.846647,#cee17f,9.613684,11.145333,#d0e87f,9.988079,12.309655,#ddd37f,10.503474,14.074721,#e8d87f
621,621,audio_621.wav,0.6104051470756531,0.4509032666683197,0.8687700629234314,0.0640146285295486,0.2583649158477783,-0.386888638138771,0.9316142,0.2585985,0.082479835,0.65867895,0.64997655,0.59769344,-1,9.105178,2.0752413,#d6537f,10.342469,4.754791,#f16c7f,12.480531,3.1273477,#f5687f,11.399922,3.9784474,#f1597f,11.2043705,5.4286375,#f2647f
622,622,audio_622.wav,0.6104051470756531,0.4509032666683197,0.8689745664596558,0.0667221397161483,0.2585694193840027,-0.3841811269521713,0.67415345,0.044522226,0.1663562,0.6698129,0.6447163,0.5864759,-1,10.596339,12.228499,#edd77f,8.209656,13.736148,#cfe07f,9.619753,10.94132,#d0e57f,10.086541,12.365629,#ded47f,10.325255,14.07632,#e5d87f
623,623,audio_623.wav,0.6104051470756531,0.4509032666683197,0.8643986582756042,0.0898256823420524,0.2539935111999511,-0.3610775843262672,0.4542768,0.38600796,0.926506,0.60714304,0.636346,0.65886474,-1,7.192313,-3.7132206,#b8097f,7.888769,-1.0811279,#c9207f,9.385418,-2.4282823,#cd107f,9.877246,-1.3912694,#db0a7f,9.561305,-0.44057256,#d9157f
624,624,audio_624.wav,0.6104051470756531,0.4509032666683197,0.8690286874771118,0.0605219230055809,0.2586235404014587,-0.3903813436627388,0.8325138,0.9766909,0.3340931,0.6688679,0.6453618,0.5876853,-1,9.9710655,9.291591,#e3b17f,8.939582,10.94995,#dabc7f,11.374572,8.971887,#e7c57f,10.152181,10.209319,#dfb47f,10.57794,11.688569,#e9b87f
